ROBUST STOCK RECALCULATION V2 - RESULTS
==========================================
Executed at: 2026-01-08 16:34:16
Cutoff Date: 2025-12-31

Products Processed: 993
Products Updated: 412
Records Created: 260
Records Updated: 0
Records Deleted: 16839
Errors: 0

STOCK CHANGES:
Product 816: 58 => 24 (-34) [Opname: 27, Tx: 2]
Product 818: 16 => 15 (-1) [Opname: 15, Tx: 0]
Product 820: 240 => 130 (-110) [Opname: 150, Tx: 1]
Product 825: 31 => 12 (-19) [Opname: 14, Tx: 1]
Product 826: 0 => 4 (+4) [Opname: 4, Tx: 0]
Product 830: 0 => 3 (+3) [Opname: 3, Tx: 0]
Product 832: 21 => 19 (-2) [Opname: 19, Tx: 0]
Product 833: 12 => 11 (-1) [Opname: 11, Tx: 0]
Product 839: 10 => 30 (+20) [Opname: 30, Tx: 0]
Product 840: 0 => 1 (+1) [Opname: 1, Tx: 0]
Product 842: 10 => 16 (+6) [Opname: 10, Tx: 1]
Product 843: 22 => 23 (+1) [Opname: 12, Tx: 2]
Product 846: 140 => 130 (-10) [Opname: 130, Tx: 0]
Product 853: 46 => 32 (-14) [Opname: 34, Tx: 1]
Product 859: 3 => 1 (-2) [Opname: 1, Tx: 0]
Product 860: 900 => 960 (+60) [Opname: 500, Tx: 4]
Product 861: 0 => 20 (+20) [Opname: 20, Tx: 0]
Product 862: 65 => 37 (-28) [Opname: 37, Tx: 0]
Product 865: 0 => 70 (+70) [Opname: 70, Tx: 0]
Product 868: 5 => 6 (+1) [Opname: 3, Tx: 1]
Product 871: 6 => 5 (-1) [Opname: 5, Tx: 0]
Product 873: 73 => 35 (-38) [Opname: 39, Tx: 1]
Product 878: 8 => 7 (-1) [Opname: 7, Tx: 0]
Product 880: 70 => 60 (-10) [Opname: 60, Tx: 0]
Product 881: 6 => 5 (-1) [Opname: 5, Tx: 0]
Product 883: 90 => 180 (+90) [Opname: 90, Tx: 2]
Product 884: 38 => 17 (-21) [Opname: 17, Tx: 0]
Product 886: 280 => 240 (-40) [Opname: 240, Tx: 0]
Product 893: 0 => 40 (+40) [Opname: 40, Tx: 0]
Product 897: 5 => 4 (-1) [Opname: 4, Tx: 0]
Product 898: 5 => 4 (-1) [Opname: 4, Tx: 0]
Product 900: 100 => 150 (+50) [Opname: 150, Tx: 0]
Product 901: 36 => 22 (-14) [Opname: 23, Tx: 1]
Product 903: 7 => 12 (+5) [Opname: 6, Tx: 1]
Product 905: 310 => 70 (-240) [Opname: 90, Tx: 2]
Product 906: 11 => 4 (-7) [Opname: 5, Tx: 1]
Product 908: 6 => 4 (-2) [Opname: 4, Tx: 0]
Product 914: 6 => 3 (-3) [Opname: 5, Tx: 2]
Product 915: 5 => 4 (-1) [Opname: 4, Tx: 0]
Product 921: 110 => 40 (-70) [Opname: 50, Tx: 1]
Product 922: 340 => 220 (-120) [Opname: 220, Tx: 0]
Product 923: 80 => 90 (+10) [Opname: 90, Tx: 0]
